"city","lat","lon","Year","Month","T2M_Mean","PRCP_Total_mm"
"Adiyaman",37.7644,38.2763,1981,1,NA,57.04
"Adiyaman",37.7644,38.2763,1981,1,-1.14,NA
"Adiyaman",37.7644,38.2763,1981,2,NA,48.16
"Adiyaman",37.7644,38.2763,1981,2,0.02,NA
"Adiyaman",37.7644,38.2763,1981,3,NA,54.25
"Adiyaman",37.7644,38.2763,1981,3,4.74,NA
"Adiyaman",37.7644,38.2763,1981,4,NA,44.7
"Adiyaman",37.7644,38.2763,1981,4,7.43,NA
"Adiyaman",37.7644,38.2763,1981,5,NA,35.03
"Adiyaman",37.7644,38.2763,1981,5,11.55,NA
"Adiyaman",37.7644,38.2763,1981,6,NA,29.4
"Adiyaman",37.7644,38.2763,1981,6,19.18,NA
"Adiyaman",37.7644,38.2763,1981,7,NA,4.03
"Adiyaman",37.7644,38.2763,1981,7,24.11,NA
"Adiyaman",37.7644,38.2763,1981,8,NA,0
"Adiyaman",37.7644,38.2763,1981,8,23.34,NA
"Adiyaman",37.7644,38.2763,1981,9,NA,0.3
"Adiyaman",37.7644,38.2763,1981,9,20.2,NA
"Adiyaman",37.7644,38.2763,1981,10,NA,26.04
"Adiyaman",37.7644,38.2763,1981,10,14.26,NA
"Adiyaman",37.7644,38.2763,1981,11,NA,28.5
"Adiyaman",37.7644,38.2763,1981,11,3.04,NA
"Adiyaman",37.7644,38.2763,1981,12,NA,50.84
"Adiyaman",37.7644,38.2763,1981,12,2.09,NA
"Adiyaman",37.7644,38.2763,1982,1,NA,65.41
"Adiyaman",37.7644,38.2763,1982,1,-1.17,NA
"Adiyaman",37.7644,38.2763,1982,2,NA,40.88
"Adiyaman",37.7644,38.2763,1982,2,-2.91,NA
"Adiyaman",37.7644,38.2763,1982,3,NA,92.07
"Adiyaman",37.7644,38.2763,1982,3,1.03,NA
"Adiyaman",37.7644,38.2763,1982,4,NA,73.8
"Adiyaman",37.7644,38.2763,1982,4,8.9,NA
"Adiyaman",37.7644,38.2763,1982,5,NA,102.92
"Adiyaman",37.7644,38.2763,1982,5,13.05,NA
"Adiyaman",37.7644,38.2763,1982,6,NA,19.8
"Adiyaman",37.7644,38.2763,1982,6,17.41,NA
"Adiyaman",37.7644,38.2763,1982,7,NA,2.79
"Adiyaman",37.7644,38.2763,1982,7,21.28,NA
"Adiyaman",37.7644,38.2763,1982,8,NA,0
"Adiyaman",37.7644,38.2763,1982,8,21.94,NA
"Adiyaman",37.7644,38.2763,1982,9,NA,2.4
"Adiyaman",37.7644,38.2763,1982,9,19.51,NA
"Adiyaman",37.7644,38.2763,1982,10,NA,5.89
"Adiyaman",37.7644,38.2763,1982,10,12.09,NA
"Adiyaman",37.7644,38.2763,1982,11,NA,17.1
"Adiyaman",37.7644,38.2763,1982,11,3.57,NA
"Adiyaman",37.7644,38.2763,1982,12,NA,24.49
"Adiyaman",37.7644,38.2763,1982,12,0.08,NA
"Adiyaman",37.7644,38.2763,1983,1,NA,40.3
"Adiyaman",37.7644,38.2763,1983,1,-4.89,NA
"Adiyaman",37.7644,38.2763,1983,2,NA,37.52
"Adiyaman",37.7644,38.2763,1983,2,-1.61,NA
"Adiyaman",37.7644,38.2763,1983,3,NA,53.63
"Adiyaman",37.7644,38.2763,1983,3,2.67,NA
"Adiyaman",37.7644,38.2763,1983,4,NA,45.6
"Adiyaman",37.7644,38.2763,1983,4,8.47,NA
"Adiyaman",37.7644,38.2763,1983,5,NA,57.66
"Adiyaman",37.7644,38.2763,1983,5,14.37,NA
"Adiyaman",37.7644,38.2763,1983,6,NA,7.2
"Adiyaman",37.7644,38.2763,1983,6,18.81,NA
"Adiyaman",37.7644,38.2763,1983,7,NA,0
"Adiyaman",37.7644,38.2763,1983,7,22.99,NA
"Adiyaman",37.7644,38.2763,1983,8,NA,0
"Adiyaman",37.7644,38.2763,1983,8,21.82,NA
"Adiyaman",37.7644,38.2763,1983,9,NA,6.3
"Adiyaman",37.7644,38.2763,1983,9,18.92,NA
"Adiyaman",37.7644,38.2763,1983,10,NA,36.27
"Adiyaman",37.7644,38.2763,1983,10,11.6,NA
"Adiyaman",37.7644,38.2763,1983,11,NA,68.4
"Adiyaman",37.7644,38.2763,1983,11,6.33,NA
"Adiyaman",37.7644,38.2763,1983,12,NA,39.68
"Adiyaman",37.7644,38.2763,1983,12,1.31,NA
"Adiyaman",37.7644,38.2763,1984,1,NA,63.55
"Adiyaman",37.7644,38.2763,1984,1,0.25,NA
"Adiyaman",37.7644,38.2763,1984,2,NA,28.71
"Adiyaman",37.7644,38.2763,1984,2,1.26,NA
"Adiyaman",37.7644,38.2763,1984,3,NA,57.04
"Adiyaman",37.7644,38.2763,1984,3,4.56,NA
"Adiyaman",37.7644,38.2763,1984,4,NA,47.7
"Adiyaman",37.7644,38.2763,1984,4,7.51,NA
"Adiyaman",37.7644,38.2763,1984,5,NA,25.11
"Adiyaman",37.7644,38.2763,1984,5,13.81,NA
"Adiyaman",37.7644,38.2763,1984,6,NA,18.6
"Adiyaman",37.7644,38.2763,1984,6,19.13,NA
"Adiyaman",37.7644,38.2763,1984,7,NA,0
"Adiyaman",37.7644,38.2763,1984,7,23.54,NA
"Adiyaman",37.7644,38.2763,1984,8,NA,0
"Adiyaman",37.7644,38.2763,1984,8,20.45,NA
"Adiyaman",37.7644,38.2763,1984,9,NA,0
"Adiyaman",37.7644,38.2763,1984,9,20.7,NA
"Adiyaman",37.7644,38.2763,1984,10,NA,3.1
"Adiyaman",37.7644,38.2763,1984,10,13.46,NA
"Adiyaman",37.7644,38.2763,1984,11,NA,64.5
"Adiyaman",37.7644,38.2763,1984,11,5.06,NA
"Adiyaman",37.7644,38.2763,1984,12,NA,43.09
"Adiyaman",37.7644,38.2763,1984,12,-1.4,NA
"Adiyaman",37.7644,38.2763,1985,1,NA,39.06
"Adiyaman",37.7644,38.2763,1985,1,0.08,NA
"Adiyaman",37.7644,38.2763,1985,2,NA,47.6
"Adiyaman",37.7644,38.2763,1985,2,-3.98,NA
"Adiyaman",37.7644,38.2763,1985,3,NA,48.36
"Adiyaman",37.7644,38.2763,1985,3,2.01,NA
"Adiyaman",37.7644,38.2763,1985,4,NA,38.1
"Adiyaman",37.7644,38.2763,1985,4,9.57,NA
"Adiyaman",37.7644,38.2763,1985,5,NA,21.39
"Adiyaman",37.7644,38.2763,1985,5,16.01,NA
"Adiyaman",37.7644,38.2763,1985,6,NA,3
"Adiyaman",37.7644,38.2763,1985,6,20.32,NA
"Adiyaman",37.7644,38.2763,1985,7,NA,0
"Adiyaman",37.7644,38.2763,1985,7,21.58,NA
"Adiyaman",37.7644,38.2763,1985,8,NA,0
"Adiyaman",37.7644,38.2763,1985,8,24.81,NA
